Hola.|Hello.
Me llamo Ana.|My name is Ana.
Yo soy estudiante.|I am a student.
Tengo un perro.|I have a dog.
Vivo en una casa.|I live in a house.
Me gusta el café.|I like coffee.
Hoy es lunes.|Today is Monday.
Hace frío.|It is cold.
Voy a la escuela.|I go to school.
Como pan.|I eat bread.
Bebo agua.|I drink water.
Ella es mi amiga.|She is my friend.
Él trabaja aquí.|He works here.
La puerta es grande.|The door is big.
El libro es nuevo.|The book is new.
Estamos en casa.|We are at home.
Quiero dormir.|I want to sleep.
Buenos días.|Good morning.
Buenas noches.|Good night.
Gracias.|Thank you.