Bonjour.|Hello.
Je m’appelle Marie.|My name is Marie.
Je suis étudiant.|I am a student.
J’ai un chat.|I have a cat.
J’habite ici.|I live here.
J’aime le thé.|I like tea.
C’est lundi.|It is Monday.
Il fait froid.|It is cold.
Je vais à l’école.|I go to school.
Je mange du pain.|I eat bread.
Je bois de l’eau.|I drink water.
Elle est mon amie.|She is my friend.
Il travaille ici.|He works here.
La porte est grande.|The door is big.
Le livre est nouveau.|The book is new.
Nous sommes à la maison.|We are at home.
Je veux dormir.|I want to sleep.
Bon matin.|Good morning.
Bonne nuit.|Good night.
Merci.|Thank you.