Ciao.|Hello.
Mi chiamo Luca.|My name is Luca.
Sono studente.|I am a student.
Ho un cane.|I have a dog.
Vivo qui.|I live here.
Mi piace il caffè.|I like coffee.
Oggi è lunedì.|Today is Monday.
Fa freddo.|It is cold.
Vado a scuola.|I go to school.
Mangio pane.|I eat bread.
Bevo acqua.|I drink water.
Lei è mia amica.|She is my friend.
Lui lavora qui.|He works here.
La porta è grande.|The door is big.
Il libro è nuovo.|The book is new.
Siamo a casa.|We are at home.
Voglio dormire.|I want to sleep.
Buongiorno.|Good morning.
Buona notte.|Good night.
Grazie.|Thank you.